Date: 2021-03-22 00:16:31s, Time_Cost: 598s, Epoch: [9/1980], Train_PSNR: 26.42, Train_SSIM:0.8925, Val_PSNR: 26.21, Val_SSIM: 0.9399
Date: 2021-03-22 00:26:28s, Time_Cost: 597s, Epoch: [10/1980], Train_PSNR: 26.41, Train_SSIM:0.8926, Val_PSNR: 26.08, Val_SSIM: 0.9385
Date: 2021-03-22 00:36:26s, Time_Cost: 598s, Epoch: [11/1980], Train_PSNR: 26.56, Train_SSIM:0.8939, Val_PSNR: 25.98, Val_SSIM: 0.9392
Date: 2021-03-22 00:46:31s, Time_Cost: 605s, Epoch: [12/1980], Train_PSNR: 26.63, Train_SSIM:0.8952, Val_PSNR: 26.38, Val_SSIM: 0.9422
Date: 2021-03-22 00:56:29s, Time_Cost: 598s, Epoch: [13/1980], Train_PSNR: 26.50, Train_SSIM:0.8934, Val_PSNR: 26.30, Val_SSIM: 0.9397
Date: 2021-03-22 01:06:22s, Time_Cost: 593s, Epoch: [14/1980], Train_PSNR: 26.68, Train_SSIM:0.8948, Val_PSNR: 26.48, Val_SSIM: 0.9419
Date: 2021-03-22 01:16:29s, Time_Cost: 607s, Epoch: [15/1980], Train_PSNR: 26.64, Train_SSIM:0.8946, Val_PSNR: 25.98, Val_SSIM: 0.9396
Date: 2021-03-22 01:26:22s, Time_Cost: 593s, Epoch: [16/1980], Train_PSNR: 26.56, Train_SSIM:0.8939, Val_PSNR: 26.46, Val_SSIM: 0.9418
Date: 2021-03-22 01:36:18s, Time_Cost: 596s, Epoch: [17/1980], Train_PSNR: 26.51, Train_SSIM:0.8929, Val_PSNR: 26.10, Val_SSIM: 0.9395
Date: 2021-03-22 01:46:17s, Time_Cost: 599s, Epoch: [18/1980], Train_PSNR: 26.66, Train_SSIM:0.8951, Val_PSNR: 26.45, Val_SSIM: 0.9413
Date: 2021-03-22 01:56:13s, Time_Cost: 596s, Epoch: [19/1980], Train_PSNR: 26.74, Train_SSIM:0.8961, Val_PSNR: 26.14, Val_SSIM: 0.9385
Date: 2021-03-22 02:06:13s, Time_Cost: 600s, Epoch: [20/1980], Train_PSNR: 26.76, Train_SSIM:0.8953, Val_PSNR: 26.05, Val_SSIM: 0.9263
Date: 2021-03-22 02:16:13s, Time_Cost: 600s, Epoch: [21/1980], Train_PSNR: 27.18, Train_SSIM:0.8993, Val_PSNR: 26.61, Val_SSIM: 0.9421
Date: 2021-03-22 02:26:07s, Time_Cost: 594s, Epoch: [22/1980], Train_PSNR: 27.18, Train_SSIM:0.8995, Val_PSNR: 26.32, Val_SSIM: 0.9397
Date: 2021-03-22 02:36:03s, Time_Cost: 596s, Epoch: [23/1980], Train_PSNR: 27.22, Train_SSIM:0.8999, Val_PSNR: 26.52, Val_SSIM: 0.9422
Date: 2021-03-22 02:46:01s, Time_Cost: 598s, Epoch: [24/1980], Train_PSNR: 27.30, Train_SSIM:0.9003, Val_PSNR: 26.76, Val_SSIM: 0.9429
Date: 2021-03-22 02:55:58s, Time_Cost: 597s, Epoch: [25/1980], Train_PSNR: 27.25, Train_SSIM:0.9003, Val_PSNR: 26.97, Val_SSIM: 0.9452
Date: 2021-03-22 03:05:54s, Time_Cost: 596s, Epoch: [26/1980], Train_PSNR: 27.27, Train_SSIM:0.9002, Val_PSNR: 26.65, Val_SSIM: 0.9389
Date: 2021-03-22 03:15:45s, Time_Cost: 591s, Epoch: [27/1980], Train_PSNR: 27.25, Train_SSIM:0.8994, Val_PSNR: 26.48, Val_SSIM: 0.9428
Date: 2021-03-22 03:25:37s, Time_Cost: 592s, Epoch: [28/1980], Train_PSNR: 27.24, Train_SSIM:0.8996, Val_PSNR: 27.01, Val_SSIM: 0.9461
Date: 2021-03-22 03:35:27s, Time_Cost: 589s, Epoch: [29/1980], Train_PSNR: 27.29, Train_SSIM:0.9001, Val_PSNR: 26.73, Val_SSIM: 0.9445
Date: 2021-03-22 03:45:23s, Time_Cost: 596s, Epoch: [30/1980], Train_PSNR: 27.33, Train_SSIM:0.9005, Val_PSNR: 26.68, Val_SSIM: 0.9440
Date: 2021-03-22 03:55:14s, Time_Cost: 591s, Epoch: [31/1980], Train_PSNR: 27.36, Train_SSIM:0.9013, Val_PSNR: 26.96, Val_SSIM: 0.9434
Date: 2021-03-22 04:04:58s, Time_Cost: 583s, Epoch: [32/1980], Train_PSNR: 27.37, Train_SSIM:0.9011, Val_PSNR: 26.23, Val_SSIM: 0.9437
Date: 2021-03-22 04:14:51s, Time_Cost: 594s, Epoch: [33/1980], Train_PSNR: 27.33, Train_SSIM:0.9008, Val_PSNR: 26.63, Val_SSIM: 0.9442
Date: 2021-03-22 04:24:44s, Time_Cost: 593s, Epoch: [34/1980], Train_PSNR: 27.41, Train_SSIM:0.9018, Val_PSNR: 26.81, Val_SSIM: 0.9403
Date: 2021-03-22 04:34:29s, Time_Cost: 585s, Epoch: [35/1980], Train_PSNR: 27.33, Train_SSIM:0.9005, Val_PSNR: 26.69, Val_SSIM: 0.9438
Date: 2021-03-22 04:45:01s, Time_Cost: 632s, Epoch: [36/1980], Train_PSNR: 27.27, Train_SSIM:0.9001, Val_PSNR: 26.88, Val_SSIM: 0.9449
Date: 2021-03-22 04:56:01s, Time_Cost: 659s, Epoch: [37/1980], Train_PSNR: 27.37, Train_SSIM:0.9010, Val_PSNR: 26.04, Val_SSIM: 0.9381
Date: 2021-03-22 05:07:23s, Time_Cost: 683s, Epoch: [38/1980], Train_PSNR: 27.38, Train_SSIM:0.9014, Val_PSNR: 26.44, Val_SSIM: 0.9435
Date: 2021-03-22 05:18:53s, Time_Cost: 689s, Epoch: [39/1980], Train_PSNR: 27.38, Train_SSIM:0.9013, Val_PSNR: 26.45, Val_SSIM: 0.9405
Date: 2021-03-22 05:30:17s, Time_Cost: 685s, Epoch: [40/1980], Train_PSNR: 27.42, Train_SSIM:0.9012, Val_PSNR: 27.18, Val_SSIM: 0.9448
Date: 2021-03-22 05:41:36s, Time_Cost: 678s, Epoch: [41/1980], Train_PSNR: 27.64, Train_SSIM:0.9034, Val_PSNR: 26.89, Val_SSIM: 0.9432
Date: 2021-03-22 05:52:59s, Time_Cost: 683s, Epoch: [42/1980], Train_PSNR: 27.70, Train_SSIM:0.9036, Val_PSNR: 27.17, Val_SSIM: 0.9475
Date: 2021-03-22 06:04:17s, Time_Cost: 677s, Epoch: [43/1980], Train_PSNR: 27.70, Train_SSIM:0.9038, Val_PSNR: 27.16, Val_SSIM: 0.9453
Date: 2021-03-22 06:15:36s, Time_Cost: 679s, Epoch: [44/1980], Train_PSNR: 27.70, Train_SSIM:0.9039, Val_PSNR: 26.85, Val_SSIM: 0.9434
Date: 2021-03-22 06:27:00s, Time_Cost: 684s, Epoch: [45/1980], Train_PSNR: 27.72, Train_SSIM:0.9039, Val_PSNR: 26.87, Val_SSIM: 0.9434
Date: 2021-03-22 06:38:20s, Time_Cost: 680s, Epoch: [46/1980], Train_PSNR: 27.72, Train_SSIM:0.9040, Val_PSNR: 27.13, Val_SSIM: 0.9458
Date: 2021-03-22 06:49:44s, Time_Cost: 684s, Epoch: [47/1980], Train_PSNR: 27.77, Train_SSIM:0.9043, Val_PSNR: 26.88, Val_SSIM: 0.9435
Date: 2021-03-22 07:01:09s, Time_Cost: 685s, Epoch: [48/1980], Train_PSNR: 27.75, Train_SSIM:0.9039, Val_PSNR: 26.99, Val_SSIM: 0.9456
Date: 2021-03-22 07:12:26s, Time_Cost: 677s, Epoch: [49/1980], Train_PSNR: 27.70, Train_SSIM:0.9037, Val_PSNR: 26.66, Val_SSIM: 0.9383
Date: 2021-03-22 07:23:51s, Time_Cost: 686s, Epoch: [50/1980], Train_PSNR: 27.78, Train_SSIM:0.9042, Val_PSNR: 26.90, Val_SSIM: 0.9454
Date: 2021-03-22 07:35:14s, Time_Cost: 683s, Epoch: [51/1980], Train_PSNR: 27.74, Train_SSIM:0.9037, Val_PSNR: 27.03, Val_SSIM: 0.9456
Date: 2021-03-22 07:46:31s, Time_Cost: 677s, Epoch: [52/1980], Train_PSNR: 27.77, Train_SSIM:0.9042, Val_PSNR: 26.96, Val_SSIM: 0.9459
Date: 2021-03-22 07:57:58s, Time_Cost: 687s, Epoch: [53/1980], Train_PSNR: 27.77, Train_SSIM:0.9046, Val_PSNR: 27.01, Val_SSIM: 0.9461
Date: 2021-03-22 08:09:08s, Time_Cost: 670s, Epoch: [54/1980], Train_PSNR: 27.81, Train_SSIM:0.9045, Val_PSNR: 27.16, Val_SSIM: 0.9456
Date: 2021-03-22 08:20:05s, Time_Cost: 657s, Epoch: [55/1980], Train_PSNR: 27.82, Train_SSIM:0.9046, Val_PSNR: 26.82, Val_SSIM: 0.9457
Date: 2021-03-22 08:31:04s, Time_Cost: 659s, Epoch: [56/1980], Train_PSNR: 27.83, Train_SSIM:0.9046, Val_PSNR: 26.92, Val_SSIM: 0.9427
Date: 2021-03-22 08:42:20s, Time_Cost: 676s, Epoch: [57/1980], Train_PSNR: 27.83, Train_SSIM:0.9046, Val_PSNR: 27.08, Val_SSIM: 0.9460
Date: 2021-03-22 08:53:48s, Time_Cost: 688s, Epoch: [58/1980], Train_PSNR: 27.78, Train_SSIM:0.9041, Val_PSNR: 27.06, Val_SSIM: 0.9447
Date: 2021-03-22 09:05:12s, Time_Cost: 684s, Epoch: [59/1980], Train_PSNR: 27.79, Train_SSIM:0.9043, Val_PSNR: 27.27, Val_SSIM: 0.9473
Date: 2021-03-22 09:16:28s, Time_Cost: 676s, Epoch: [60/1980], Train_PSNR: 27.80, Train_SSIM:0.9044, Val_PSNR: 27.25, Val_SSIM: 0.9467
Date: 2021-03-22 09:27:54s, Time_Cost: 686s, Epoch: [61/1980], Train_PSNR: 27.96, Train_SSIM:0.9056, Val_PSNR: 27.30, Val_SSIM: 0.9475
Date: 2021-03-22 09:39:27s, Time_Cost: 693s, Epoch: [62/1980], Train_PSNR: 27.97, Train_SSIM:0.9056, Val_PSNR: 27.18, Val_SSIM: 0.9473
Date: 2021-03-22 09:51:21s, Time_Cost: 714s, Epoch: [63/1980], Train_PSNR: 27.99, Train_SSIM:0.9057, Val_PSNR: 27.16, Val_SSIM: 0.9450
Date: 2021-03-22 10:03:14s, Time_Cost: 712s, Epoch: [64/1980], Train_PSNR: 28.01, Train_SSIM:0.9061, Val_PSNR: 27.09, Val_SSIM: 0.9456
Date: 2021-03-22 10:14:44s, Time_Cost: 690s, Epoch: [65/1980], Train_PSNR: 28.00, Train_SSIM:0.9061, Val_PSNR: 26.84, Val_SSIM: 0.9431
Date: 2021-03-22 10:26:17s, Time_Cost: 693s, Epoch: [66/1980], Train_PSNR: 28.00, Train_SSIM:0.9061, Val_PSNR: 26.85, Val_SSIM: 0.9447
Date: 2021-03-22 10:37:49s, Time_Cost: 692s, Epoch: [67/1980], Train_PSNR: 28.02, Train_SSIM:0.9058, Val_PSNR: 27.21, Val_SSIM: 0.9469
Date: 2021-03-22 10:49:14s, Time_Cost: 685s, Epoch: [68/1980], Train_PSNR: 28.00, Train_SSIM:0.9060, Val_PSNR: 27.11, Val_SSIM: 0.9464
Date: 2021-03-22 11:00:47s, Time_Cost: 693s, Epoch: [69/1980], Train_PSNR: 28.03, Train_SSIM:0.9062, Val_PSNR: 27.20, Val_SSIM: 0.9460
Date: 2021-03-22 11:12:17s, Time_Cost: 689s, Epoch: [70/1980], Train_PSNR: 28.01, Train_SSIM:0.9059, Val_PSNR: 27.02, Val_SSIM: 0.9457
Date: 2021-03-22 11:23:41s, Time_Cost: 685s, Epoch: [71/1980], Train_PSNR: 28.01, Train_SSIM:0.9059, Val_PSNR: 27.04, Val_SSIM: 0.9462
Date: 2021-03-22 11:35:09s, Time_Cost: 688s, Epoch: [72/1980], Train_PSNR: 28.01, Train_SSIM:0.9058, Val_PSNR: 26.94, Val_SSIM: 0.9455
Date: 2021-03-22 11:46:21s, Time_Cost: 672s, Epoch: [73/1980], Train_PSNR: 28.02, Train_SSIM:0.9059, Val_PSNR: 27.30, Val_SSIM: 0.9458
Date: 2021-03-22 11:57:27s, Time_Cost: 666s, Epoch: [74/1980], Train_PSNR: 28.06, Train_SSIM:0.9062, Val_PSNR: 26.87, Val_SSIM: 0.9440
Date: 2021-03-22 12:08:34s, Time_Cost: 667s, Epoch: [75/1980], Train_PSNR: 28.01, Train_SSIM:0.9057, Val_PSNR: 27.12, Val_SSIM: 0.9457
